#options: 1920x1080 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1778 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:90 out:92 type:b dur:2 cpbdur:2 q:22.26 aq:10.64 tex:29 mv:37 misc:414 imb:2 pmb:4 smb:8154 d:- ref:0 ;
in:92 out:93 type:b dur:2 cpbdur:2 q:22.01 aq:10.39 tex:431 mv:76 misc:405 imb:2 pmb:2 smb:8156 d:- ref:0 ;
in:97 out:94 type:P dur:2 cpbdur:2 q:21.12 aq:12.44 tex:163584 mv:2007 misc:5713 imb:58 pmb:1939 smb:6163 d:- ref:0 ;
in:95 out:95 type:B dur:2 cpbdur:2 q:21.50 aq:23.39 tex:649 mv:185 misc:502 imb:3 pmb:18 smb:8139 d:- ref:0 ;
in:94 out:96 type:b dur:2 cpbdur:2 q:21.69 aq:27.00 tex:307 mv:108 misc:417 imb:0 pmb:7 smb:8153 d:- ref:0 ;
in:96 out:97 type:b dur:2 cpbdur:2 q:21.31 aq:13.01 tex:191 mv:73 misc:440 imb:2 pmb:11 smb:8147 d:- ref:0 ;
in:101 out:98 type:P dur:2 cpbdur:2 q:20.57 aq:11.72 tex:159195 mv:2222 misc:5455 imb:84 pmb:1664 smb:6412 d:- ref:0 ;
in:99 out:99 type:B dur:2 cpbdur:2 q:20.85 aq:19.50 tex:5365 mv:506 misc:529 imb:9 pmb:49 smb:8102 d:- ref:0 ;
in:98 out:100 type:b dur:2 cpbdur:2 q:20.98 aq:23.88 tex:2044 mv:337 misc:451 imb:1 pmb:25 smb:8134 d:- ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:20.71 aq:25.52 tex:3592 mv:860 misc:452 imb:4 pmb:45 smb:8111 d:- ref:0 ;
in:105 out:102 type:P dur:2 cpbdur:2 q:20.32 aq:11.59 tex:117748 mv:2078 misc:4774 imb:37 pmb:1261 smb:6862 d:- ref:0 ;
in:103 out:103 type:B dur:2 cpbdur:2 q:20.45 aq:21.23 tex:2465 mv:532 misc:627 imb:0 pmb:68 smb:8092 d:- ref:0 ;
in:102 out:104 type:b dur:2 cpbdur:2 q:20.51 aq:24.14 tex:1553 mv:374 misc:513 imb:3 pmb:48 smb:8109 d:- ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:20.38 aq:23.76 tex:436 mv:151 misc:453 imb:0 pmb:14 smb:8146 d:- ref:0 ;
in:109 out:106 type:P dur:2 cpbdur:2 q:20.08 aq:11.33 tex:89784 mv:1649 misc:4327 imb:27 pmb:1050 smb:7083 d:- ref:0 ;
in:107 out:107 type:B dur:2 cpbdur:2 q:20.20 aq:20.94 tex:1527 mv:570 misc:631 imb:3 pmb:57 smb:8100 d:- ref:0 ;
in:106 out:108 type:b dur:2 cpbdur:2 q:20.26 aq:24.55 tex:390 mv:254 misc:460 imb:1 pmb:17 smb:8142 d:- ref:0 ;
in:108 out:109 type:b dur:2 cpbdur:2 q:20.14 aq:22.00 tex:42 mv:73 misc:517 imb:0 pmb:32 smb:8128 d:- ref:0 ;
in:113 out:110 type:P dur:2 cpbdur:2 q:19.90 aq:10.26 tex:72040 mv:1163 misc:3973 imb:36 pmb:879 smb:7245 d:- ref:0 ;
in:111 out:111 type:B dur:2 cpbdur:2 q:19.99 aq:18.78 tex:759 mv:98 misc:535 imb:0 pmb:22 smb:8138 d:- ref:0 ;
in:110 out:112 type:b dur:2 cpbdur:2 q:20.04 aq:22.52 tex:160 mv:45 misc:451 imb:0 pmb:8 smb:8152 d:- ref:0 ;
in:112 out:113 type:b dur:2 cpbdur:2 q:19.95 aq:23.26 tex:181 mv:76 misc:431 imb:1 pmb:5 smb:8154 d:- ref:0 ;
